"subject_id","activity_id","activity_label","tBodyAcc-mean()-X","tBodyAcc-mean()-Y","tBodyAcc-mean()-Z","tGravityAcc-mean()-X","tGravityAcc-mean()-Y","tGravityAcc-mean()-Z","tBodyAccJerk-mean()-X","tBodyAccJerk-mean()-Y","tBodyAccJerk-mean()-Z","tBodyGyro-mean()-X","tBodyGyro-mean()-Y","tBodyGyro-mean()-Z","tBodyGyroJerk-mean()-X","tBodyGyroJerk-mean()-Y","tBodyGyroJerk-mean()-Z","tBodyAccMag-mean()","tGravityAccMag-mean()","tBodyAccJerkMag-mean()","tBodyGyroMag-mean()","tBodyGyroJerkMag-mean()","fBodyAcc-mean()-X","fBodyAcc-mean()-Y","fBodyAcc-mean()-Z","fBodyAcc-meanFreq()-X","fBodyAcc-meanFreq()-Y","fBodyAcc-meanFreq()-Z","fBodyAccJerk-mean()-X","fBodyAccJerk-mean()-Y","fBodyAccJerk-mean()-Z","fBodyAccJerk-meanFreq()-X","fBodyAccJerk-meanFreq()-Y","fBodyAccJerk-meanFreq()-Z","fBodyGyro-mean()-X","fBodyGyro-mean()-Y","fBodyGyro-mean()-Z","fBodyGyro-meanFreq()-X","fBodyGyro-meanFreq()-Y","fBodyGyro-meanFreq()-Z","fBodyAccMag-mean()","fBodyAccMag-meanFreq()","fBodyBodyAccJerkMag-mean()","fBodyBodyAccJerkMag-meanFreq()","fBodyBodyGyroMag-mean()","fBodyBodyGyroMag-meanFreq()","fBodyBodyGyroJerkMag-mean()","fBodyBodyGyroJerkMag-meanFreq()","tBodyAcc-std()-X","tBodyAcc-std()-Y","tBodyAcc-std()-Z","tGravityAcc-std()-X","tGravityAcc-std()-Y","tGravityAcc-std()-Z","tBodyAccJerk-std()-X","tBodyAccJerk-std()-Y","tBodyAccJerk-std()-Z","tBodyGyro-std()-X","tBodyGyro-std()-Y","tBodyGyro-std()-Z","tBodyGyroJerk-std()-X","tBodyGyroJerk-std()-Y","tBodyGyroJerk-std()-Z","tBodyAccMag-std()","tGravityAccMag-std()","tBodyAccJerkMag-std()","tBodyGyroMag-std()","tBodyGyroJerkMag-std()","fBodyAcc-std()-X","fBodyAcc-std()-Y","fBodyAcc-std()-Z","fBodyAccJerk-std()-X","fBodyAccJerk-std()-Y","fBodyAccJerk-std()-Z","fBodyGyro-std()-X","fBodyGyro-std()-Y","fBodyGyro-std()-Z","fBodyAccMag-std()","fBodyBodyAccJerkMag-std()","fBodyBodyGyroMag-std()","fBodyBodyGyroJerkMag-std()"
1,6,"LAYING",0.264833548070175,-0.0293030412929825,-0.102429099105263,0.723452727385965,-0.0684927929824561,0.0792482368666667,0.117782689789474,-0.0149461530631579,-0.0324939118341754,-0.0230556814973684,-0.0952478599473684,0.0965017817552632,-0.0885447511052632,-0.0439388962964912,-0.0620507007859649,-0.46322291009614,-0.46322291009614,-0.551913557421053,-0.475153757859649,-0.642234402052632,-0.538386463122807,-0.395918967524561,-0.615147453157895,-0.165914030480702,0.0994079148526316,0.0929141342631579,-0.548969686050877,-0.494866848752632,-0.703456643508772,-0.0428422202017544,-0.181654790454386,-0.0593578085368421,-0.614315744842105,-0.508931261198246,-0.551495607298246,-0.0589995131614035,-0.0661304070157895,-0.00888338136473684,-0.491428427087719,0.169648303842105,-0.496130597631579,0.202796192168421,-0.531737015789474,0.0523185184952632,-0.652889925596491,0.190563363119474,-0.560388983631579,-0.373222362759649,-0.520642533284211,-0.961947542105263,-0.950100840315789,-0.934743422631579,-0.531206513245614,-0.462442210707018,-0.723314668947368,-0.673968053701754,-0.454935107105263,-0.59796428622807,-0.641552989245614,-0.638457957087719,-0.661343993085965,-0.52112963831579,-0.52112963831579,-0.51265588522807,-0.491335352235088,-0.657106086842105,-0.570925101133333,-0.40295857764386,-0.51441442345614,-0.555400934982456,-0.463656648614035,-0.741618537894737,-0.694672177947368,-0.434308028529825,-0.651764396017544,-0.61564649754386,-0.536845771103509,-0.556102124877193,-0.687573465807018
3,6,"LAYING",0.277324518596491,-0.0191131907810526,-0.105796907868421,0.711967372807017,-0.0360090485245614,0.0450125465964912,0.0794133142894737,0.0112852550526316,0.00185332421754386,-0.0133811658789474,-0.0841304743684211,0.0758337573333333,-0.0724179752280702,-0.0592597889333333,-0.047091458522807,-0.565453137701754,-0.565453137701754,-0.642586571614035,-0.655658455789474,-0.778271066140351,-0.620726485350877,-0.514729477536842,-0.699032299649123,-0.163082365229825,0.0379690742122807,0.0379041112824561,-0.64248064454386,-0.582529896880526,-0.775668214385965,-0.0613932764912281,-0.222778176719298,-0.179003132575439,-0.649794533912281,-0.769009376491228,-0.668530818070175,-0.0979482337877193,-0.130682840133333,-0.0306319617315789,-0.588283668824561,0.116205121529649,-0.608685036347368,0.120661702610526,-0.722945417017544,-0.0391999316385965,-0.805957948947368,0.0627086067701754,-0.618159812473684,-0.492141958617544,-0.660467476894737,-0.974047911578947,-0.957394541052632,-0.93652604631579,-0.629953937719298,-0.556216066114035,-0.79094160245614,-0.717378688421053,-0.758822978947368,-0.707175397719298,-0.687249366842105,-0.833844631578947,-0.73652983122807,-0.60115929868421,-0.60115929868421,-0.610399479349123,-0.692302282473684,-0.797753684561403,-0.618659297221053,-0.512958451821053,-0.666873859105263,-0.650371588122807,-0.557797357380702,-0.805048162280702,-0.740287402280702,-0.755267782631579,-0.748910388245614,-0.671212758877193,-0.616383070801754,-0.726499731350877,-0.802510406140351
5,6,"LAYING",0.292447605882353,-0.0193559340078431,-0.105083467980392,0.719754615686275,0.102015863009804,0.0902622752,0.0886591268823529,-0.0221313963901961,-0.0135644651413726,-0.0436460526723529,-0.0670723679490196,0.0904471462745098,-0.0895570750333333,-0.0639829231764706,-0.010048382154902,-0.457557128842157,-0.457557128842157,-0.577421666509804,-0.590938514007843,-0.698264916666667,-0.539339931196078,-0.444954806503922,-0.695307144705882,-0.230892825764706,0.0605097580254902,-0.0175625916813725,-0.590979081588235,-0.545713538705882,-0.766382297843137,-0.100541823019608,-0.265341539921569,-0.138323231784314,-0.605768791398039,-0.709769588431373,-0.526584815931373,-0.0231092450176471,-0.0803634652647059,0.09477494702,-0.528838512843137,0.105488242358431,-0.566430368369412,0.18954472085098,-0.667537336929412,0.0850953848039216,-0.741193833137255,0.07758304236,-0.495523828352941,-0.415364937890196,-0.646951740980392,-0.971037452745098,-0.948983780588235,-0.944036733333333,-0.564721657843137,-0.496917629605882,-0.7802341,-0.693503134294118,-0.701504638431373,-0.606727279196078,-0.660098380313725,-0.765243951176471,-0.553760535901961,-0.52590833372549,-0.52590833372549,-0.585508063119608,-0.660796389782353,-0.730344696470588,-0.480374065607843,-0.437495523168627,-0.649613661568627,-0.576295376215686,-0.477965020015686,-0.792771000392157,-0.721982928039216,-0.699634150196078,-0.673939774509804,-0.599840551882353,-0.615012950715686,-0.71727851254902,-0.736481368431373
6,6,"LAYING",0.296063073888889,-0.0190745723698148,-0.114055177333333,0.673760785555556,0.0236814007222222,0.0482065483051852,0.0578312576296296,-0.0189328027118519,-0.00992453431351852,-0.0485346800462963,-0.0718031493833333,0.109340928488519,-0.0913545888518519,-0.0258234328888889,-0.0708163911911111,-0.462055898053519,-0.462055898053519,-0.541759441092593,-0.548180747047037,-0.621941840092593,-0.497686642444444,-0.392250920203704,-0.679318982055556,-0.184010336372222,0.0576958908018518,0.0964343633814815,-0.53743318762963,-0.494341844857407,-0.717009488296296,-0.109069528390185,-0.275190824894444,-0.0542609756796296,-0.525083771148148,-0.619673136312963,-0.511360784796296,0.0676664126303704,-0.0260116410203704,0.103585945816667,-0.476146333388889,0.105218817992593,-0.486551624198148,0.1264997485,-0.574109836592593,0.113297072722222,-0.648385043481482,0.0904245528574074,-0.50206282817963,-0.36136058012963,-0.668670984759259,-0.963566082777778,-0.956350702037037,-0.935375148703704,-0.520064727525926,-0.438455810537037,-0.737434664944444,-0.644140363740741,-0.629918159666667,-0.606808478185185,-0.541544301833333,-0.678011976648148,-0.52645380987037,-0.483683476666667,-0.483683476666667,-0.493538042611111,-0.573239901727778,-0.641776845,-0.506772832907407,-0.386234490043889,-0.691813451481481,-0.545701773648148,-0.415757021718519,-0.756756177203704,-0.683935076394444,-0.64005697237037,-0.680604748518518,-0.569939322703704,-0.506187722601852,-0.650776377222222,-0.658746466648148
7,6,"LAYING",0.267330383490196,-0.0228272871862745,-0.117814798686275,0.667611989411765,-0.0323558153254902,0.0370559426647059,0.0984245382117647,-0.0167486966117647,-0.00759863408235294,-0.0655930087745098,-0.0547273212588235,0.120987361921569,-0.126694150903922,-0.0143148493078431,-0.0561787088192157,-0.494088468470588,-0.494088468470588,-0.622673235386863,-0.571333648784314,-0.713740964117647,-0.579198696019608,-0.561918336529412,-0.525488005851569,-0.327407723392157,-0.0455943177294118,0.00225454578431373,-0.633910965454902,-0.6497311412,-0.643941212156863,-0.132175166058824,-0.242869583084314,-0.225374126843137,-0.632948920588235,-0.630617189470588,-0.661251320980392,-0.162779611198039,-0.110457936153137,-0.0842646247333333,-0.498391800166667,-0.0183854171666667,-0.55571335702549,0.119116548972549,-0.637098597039216,-0.0814219806862745,-0.677605209375882,0.0457955759247059,-0.561812866078431,-0.531106095490196,-0.439725305431373,-0.933617164411765,-0.946045812745098,-0.892457741568627,-0.611683889568627,-0.630143198705882,-0.667918136901961,-0.672604203568627,-0.651398453862745,-0.66345409254902,-0.699252829215686,-0.680551816684314,-0.75122782254902,-0.482248433411765,-0.482248433411765,-0.554051798576471,-0.588992477784314,-0.666354090039216,-0.555845227568627,-0.546060163921569,-0.440247936306078,-0.623334269686274,-0.634194318686275,-0.690483228192157,-0.688449323509804,-0.669560972352941,-0.697035565294118,-0.555914075568627,-0.555618949588235,-0.63202393627451,-0.677203086176471
8,6,"LAYING",0.279998710212766,-0.0139702450446809,-0.104364514531915,0.622728598510638,0.0438012077234043,0.0909752740782979,0.0614536942978723,0.0148423298689362,-0.0153108024682979,0.0433507633,-0.102439360469787,0.0543304558340426,-0.145541381978723,-0.0222971116382979,-0.0709716023170213,-0.512185893759574,-0.512185893759574,-0.569069279261702,-0.515067730361702,-0.697468985085106,-0.620583952574468,-0.431101676170213,-0.602153273638298,-0.207206200882979,0.00569916136170213,0.10137649312766,-0.627364178021277,-0.538856359789362,-0.675227565765957,0.0536231956612766,-0.1710565285,-0.0486395290042553,-0.622822240340426,-0.611749627,-0.5579638128,-0.105295373914894,-0.123975562580851,0.0356311194765957,-0.55681477012766,0.190610117444468,-0.571848004168085,0.322429692765957,-0.636452912425532,0.016431553422766,-0.731005112297872,0.256379828055319,-0.617559372468085,-0.40073848893617,-0.549824113744681,-0.962987310638298,-0.957723749787234,-0.939810131914894,-0.609177835617021,-0.496445576170213,-0.696332992851064,-0.667189530621277,-0.606055941293617,-0.546081966495745,-0.698871405244681,-0.709561283319149,-0.713903479148936,-0.598972809851064,-0.598972809851064,-0.601621270510638,-0.609316879510638,-0.741235100531915,-0.61759526783617,-0.424390226531915,-0.558960305842553,-0.625622410595745,-0.485480427855319,-0.716683900634043,-0.682798830255319,-0.60654422826383,-0.586440128744681,-0.689279883744681,-0.646015714808511,-0.660967927680851,-0.774211667659574
11,6,"LAYING",0.273727617735849,-0.0182306707509434,-0.114974842226415,0.719883759622642,0.0587585135660377,0.141701400716981,0.0594103852415094,0.0145101809150943,-0.00987675943056604,-0.0333475426603774,-0.075570452245283,0.0941524137628302,-0.0661275468943396,-0.0617718923603774,-0.0352561612188679,-0.538371134056604,-0.538371134056604,-0.685771889981132,-0.624070197603774,-0.829890412641509,-0.617466975064151,-0.508223761622641,-0.749407222075472,-0.238581526792453,0.0124756310754717,0.0155370171320755,-0.683115000830189,-0.632905082883019,-0.834504349811321,-0.0909454347320755,-0.309492794169811,-0.127933029541509,-0.700698910754717,-0.773878576792453,-0.7183758,-0.143883830503019,-0.203438402150943,-0.0986652162437736,-0.604610728311321,0.120183048622642,-0.660770681716981,0.129775988348868,-0.753307948679245,-0.146684568175472,-0.863071611698113,0.0640355087584906,-0.593278567396226,-0.47008715245283,-0.659801883773585,-0.977231038490566,-0.948812343584906,-0.951357708301887,-0.665445847886792,-0.609078053207547,-0.850833927735849,-0.729472537603774,-0.696585217169811,-0.734058536981132,-0.777413916037736,-0.869715850188679,-0.803603533018868,-0.606075806207547,-0.606075806207547,-0.66764882809434,-0.685439811226415,-0.863121938679245,-0.585223163867925,-0.485023649366038,-0.644684108188679,-0.677350374830189,-0.60976576254717,-0.865820829811321,-0.741301314716981,-0.662098905849057,-0.763928999245283,-0.668976157773585,-0.678731332415094,-0.697747118773585,-0.872879660188679
14,6,"LAYING",0.281214060886792,-0.0138147722375472,-0.101956374913962,0.654908159735849,-0.106468206207547,-0.150650751943396,0.0601215876490566,0.0517913993679245,0.0356751334971698,0.0228462187037736,-0.119494827792453,0.0175908031849057,-0.0983574701358491,-0.052349245654717,-0.0268505428979245,-0.462554135075472,-0.462554135075472,-0.611096596177358,-0.42849857443566,-0.703541460207547,-0.626045180773585,-0.461903750377358,-0.454182379320755,-0.299199962903774,-0.149781550475472,-0.0918766549075472,-0.656293882603774,-0.598884222811321,-0.623071155660377,-0.144411492792453,-0.301384270996226,-0.231454368113208,-0.717513176132075,-0.520158680433962,-0.440040115679245,-0.268687355837736,-0.331201583679245,-0.206836217107547,-0.4986324983,-0.0508802698830189,-0.597040699236792,0.158168128962264,-0.561666814113208,-0.121260176688679,-0.721453356792453,0.0993508452660377,-0.614226923924528,-0.386246327013208,-0.309143995641509,-0.954853521886792,-0.955531605471698,-0.932558334150943,-0.642841660843774,-0.588301429937736,-0.658955042245283,-0.737974196886792,-0.417413897362264,-0.378231198701887,-0.797723864528302,-0.70122757490566,-0.637305739320755,-0.487908535018868,-0.487908535018868,-0.606469016205472,-0.489789244830189,-0.730752278679245,-0.610299079014151,-0.389351118679245,-0.290157079660377,-0.661453239377358,-0.605932597375472,-0.694075046037736,-0.746800475924528,-0.369072080146415,-0.419087941773585,-0.562961894641509,-0.622076019381132,-0.531639552267925,-0.763672144415094
15,6,"LAYING",0.270198980545455,-0.01461644088,-0.113629807909091,0.6914784774,0.0954986882181818,0.0445238474363636,0.0463163381818182,0.0353107551930909,0.0136436109832545,-0.03637089958,-0.0764016420563636,0.0963009877636364,-0.0953458630127273,-0.0415206405345455,-0.0391151625090909,-0.549522629395636,-0.549522629395636,-0.666083675236364,-0.618611127581818,-0.804977457272727,-0.596032458963636,-0.514980298856364,-0.751531403581818,-0.206117781076364,0.0556098572254545,0.0578790026810909,-0.656592385218182,-0.612322306163636,-0.808219510581818,-0.0628052286727273,-0.196696289327273,-0.0632653907290909,-0.658377806490909,-0.763754081818182,-0.713540560236364,-0.155313494303636,-0.249680024807273,-0.0475315677090909,-0.5796418684,0.07975730708,-0.624389631021818,0.132082478127273,-0.731517941636364,-0.166988853265455,-0.835690329454545,0.0868589458203636,-0.575782809563636,-0.495690238832727,-0.720598644181818,-0.971085131272727,-0.967420867090909,-0.956328504727273,-0.639787521018182,-0.595272612963636,-0.830348035454545,-0.684948705272727,-0.708047084505455,-0.725119152,-0.723343621454545,-0.854672880909091,-0.795065481454545,-0.580307386613454,-0.580307386613454,-0.633267165405455,-0.667394788890909,-0.832778870181818,-0.568762382552727,-0.518382300994545,-0.7275611614,-0.654653982690909,-0.604940861181818,-0.851740265636364,-0.695698161836364,-0.682506376636364,-0.755242005454545,-0.646458645672727,-0.647753375218182,-0.684282405036364,-0.841402560545455
16,6,"LAYING",0.286662434557377,-0.0167756192788525,-0.111364360180328,0.693213070885246,-0.0620773923278689,0.0453297923114754,0.0680624779016393,0.025508724667541,-0.000476331053934425,0.0101456871196721,-0.0922195346229508,0.0615973004098361,-0.115156344672131,-0.0309424825334426,-0.0446605275601639,-0.611324011344262,-0.611324011344262,-0.722015249885246,-0.710792525409836,-0.859667029836066,-0.693624664606557,-0.665496319360656,-0.659819520959344,-0.235225805818033,-0.0347819437229508,0.00574002785131147,-0.737627652672131,-0.748647933508197,-0.754849373934426,-0.0168368459393443,-0.198878502196721,-0.161438419614754,-0.788382732622951,-0.817579049836066,-0.75506986704918,-0.153473646360656,-0.182213964698361,-0.110322382013115,-0.661326187016393,0.0192192556393443,-0.707546795783607,0.213685224442623,-0.819254721147541,-0.10412570675082,-0.872677565737705,0.168389334918033,-0.663911558163934,-0.641026637901639,-0.602715399729508,-0.96376857852459,-0.959398459016393,-0.931160822622951,-0.721109447442623,-0.731140777295082,-0.768866766065574,-0.800021452786885,-0.813165171639344,-0.726488100295082,-0.858724038852459,-0.869559302459016,-0.837204135081967,-0.654141344590164,-0.654141344590164,-0.715109943916393,-0.787901794262295,-0.876422085081967,-0.653582006032787,-0.65243564295082,-0.6043971337,-0.72899890553082,-0.730242053770492,-0.78152819295082,-0.806039036229508,-0.813081791967213,-0.744155173508197,-0.70548240195082,-0.726672250081967,-0.805037095737705,-0.890273374754098
